Brands,Familys,Years,Models,TechInfos,Equipments
Ford,Focus,2015,Focus 1.6 S/SE/SE Plus Flex 8V/16V 5p,"FIPE 06/23:R$ 53.599,00;Ano:2015;Combustível:Flex;Configuração:Hatch;Garantia:3 anos;Geração:3;Lugares:5;Plataforma:C-Car;Portas:4;Porte:Médio;Procedência:Importado;Aceleração 0-100 km/h:11,4 s;Velocidade máxima:189 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:IB5;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1596 cm³;Cilindros:4 em linha;Código do motor:Sigma;Comando de válvulas:Duplo no cabeçote, correia dentada;Curso do pistão:81,4 mm;Diâmetro do cilindro:79 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:9,7 kg/cv;Peso/torque:78,6 kg/kgfm;Potência específica:84,6 cv/litro;Potência máxima:135 cv (A) 131 cv (G) a 6500 rpm;Razão de compressão:12:1;Torque específico:10,5 kgfm/litro;Torque máximo:16,7 kgfm (A) 16,2 kgfm (G) a 3000 rpm;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Altura:1484 mm;Carga útil:513 kg;Comprimento:4358 mm;Distância entre-eixos:2648 mm;Largura:1823 mm;Peso:1312 kg;Porta-malas:316 litros;Tanque de combustível:55 litros;Altura do flanco:113 mm;Dianteiros:205/55 R16;Traseiros:205/55 R16;Área frontal (A):2,3 m²;Área frontal corrigida:0,660 m²;Coeficiente de arrasto (Cx):0,287;Assistência:Elétrica;Diâmetro mínimo de giro:11 m;Dianteira:Independente, McPherson;Elemento elástico:Mola helicoidal;Traseira:Independente, multibraço;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):512 km;Rodoviária (G):754 km;Urbana (A):385 km;Urbana (G):567 km;Rodoviário (A):9,3 km/l;Rodoviário (G):13,7 km/l;Urbano (A):7 km/l;Urbano (G):10,3 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro bipartido;Banco traseiro rebatível;Comando interno do porta-malas;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Luz no porta-luvas;Luz no porta-malas;Rodas de liga leve;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags frontais;Alarme antifurto perimétrico;Cintos de três pontos para todos os ocupantes;Desembaçador do vidro traseiro;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Freios ABS;Limpador e lavador do vidro traseiro;Repetidores laterais das luzes de direção;Travamento central das portas
Ford,Royale,1992,Royale GL 2.0/2.0i 2p e 4p,"FIPE 06/23:R$ 5.471,00;Ano:1992;Combustível:Gasolina;Configuração:Perua;Garantia:1 ano;Lugares:5;Plataforma:B2;Portas:2;Porte:Médio;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:13,7 s;Velocidade máxima:171 km/h;Acionam. do comando:Correia dentada;Alimentação:Carburador;Aspiração:Natural;Cilindrada:1984 cm³;Cilindros:4 em linha;Código do motor:AP-2000;Comando de válvulas:Único no cabeçote;Curso do pistão:92,8 mm;Diâmetro do cilindro:82,5 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:11,1 kg/cv;Peso/torque:69,8 kg/kgfm;Potência específica:54,4 cv/litro;Potência máxima:108 cv;Razão de compressão:9:1;Regime potência máx.:5400 rpm;Regime torque máx.:3400 rpm;Torque específico:8,7 kgfm/litro;Torque máximo:17,2 kgfm;Tuchos:Mecânicos;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:5;Tração:Dianteira;Altura:1445 mm;Bitola dianteira:1414 mm;Bitola traseira:1422 mm;Carga útil:450 kg;Comprimento:4612 mm;Distância entre-eixos:2548 mm;Largura:1700 mm;Peso:1200 kg;Porta-malas:698 litros;Tanque de combustível:72 litros;Altura do flanco:117 mm;Dianteiros:195/60 R14;Estepe:195/60 R14;Traseiros:195/60 R14;Área frontal (A):2,09 m²;Área frontal corrigida:0,732 m²;Coef. de arrasto (Cx):0,35;Assistência:Hidráulica;Diâmetro de giro:11,25 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (G):936 km;Urbana (G):648 km;Rodoviário (G):13 km/l;Urbano (G):9 km/l",
Ford,F-250,2002,F-250 XLT 4.2 V6,"Ano:2002;Combustível:Gasolina;Configuração:Picape;Garantia:2 anos;Lugares:3;Portas:2;Porte:Grande;Procedência:Nacional;Aceleração 0-100 km/h:13,3 s;Velocidade máxima:150 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:ZF-S5420;Quantidade de marchas:5;Tração:Traseira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:4195 cm³;Cilindros:6 em V;Comando de válvulas:no bloco;Curso dos pistões:95 mm;Diâmetro dos cilindros:96,8 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:11,5 kg/cv;Peso/torque:66,1 kg/kgfm;Potência específica:48,9 cv/litro;Potência máxima:205 cv a 4500 rpm;Razão de compressão:9,2:1;Torque específico:8,5 kgfm/litro;Torque máximo:35,7 kgfm a 2250 rpm;Válvulas por cilindro:2;Altura:1934 mm;Carga útil:1140 kg;Comprimento:5315 mm;Distância entre-eixos:3071 mm;Largura:2020 mm;Peso:2360 kg;Porta-malas:1832 litros;Tanque de combustível:110 litros;Altura do flanco:199 mm;Dianteiros:Disco ventilado;Dianteiros:265/75 R16;Assistência:Hidráulica;Diâmetro mínimo de giro:Não informado;Dianteira:Independente, duplo eixo em I;Elemento elástico:Feixe de molas semielípticas;Traseira:Eixo rígido;Rodoviária (G):759 km;Urbana (G):484 km;Rodoviário (G):6,9 km/l;Urbano (G):4,4 km/l;Traseiros:265/75 R16;Traseiros:Tambor",
Fiat,Premio,1993,Premio CS 1.5 i.e. 2p/ SL 1.6/1.5/1.3 4p,"FIPE 06/23:R$ 7.302,00;Ano:1993;Combustível:Gasolina;Configuração:Sedã;Garantia:1 ano;Lugares:5;Portas:4;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:13,9 s;Velocidade máxima:157 km/h;Acionam. do comando:Correia dentada;Alimentação:Injeção monoponto;Aspiração:Natural;Cilindrada:1498 cm³;Cilindros:4 em linha;Código do motor:Fiasa;Comando de válvulas:Único no cabeçote;Curso do pistão:82,5 mm;Diâmetro do cilindro:76 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:14,1 kg/cv;Peso/torque:79,3 kg/kgfm;Potência:67.3 cv;Potência específica:44,9 cv/litro;Razão de compressão:8,5:1;Rotação potência máx.:5000 rpm;Rotação torque máx.:3000 rpm;Torque:12 kgfm;Torque específico:8,0 kgfm/litro;Tuchos:Mecânicos;Válvulas por cilindro:2;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C506;Marchas:5;Tração:Dianteira;Altura:1444 mm;Bitola dianteira:1321 mm;Bitola traseira:1340 mm;Carga útil:400 kg;Comprimento:4037 mm;Distância entre-eixos:2362 mm;Largura:1557 mm;Peso:952 kg;Porta-malas:530 litros;Tanque de combustível:55 litros;Vão livre do solo:137 mm;Altura do flanco:116 mm;Dianteiros:165/70 R13;Estepe:165/70 R13;Traseiros:165/70 R13;Assistência:Não assistida;Diâmetro de giro:10,4 m;Dianteira:Indep., McPherson;Elemento elástico:Feixe de molas semielípticas;Traseira:Indep., McPherson;Dianteiros:Disco sólido;Traseiros:Tambor;Rodoviária (G):726 km;Urbana (G):506 km;Rodoviário (G):13,2 km/l;Urbano (G):9,2 km/l",
Fiat,Doblo,2016,Doblo ESSENCE 1.8 Flex 16V 5p,"FIPE 06/23:R$ 54.267,00;Ano:2016;Combustível:Flex;Configuração:Minivan;Garantia:1 ano;Lugares:7;Plataforma:178;Portas:4;Porte:Médio;Procedência:Nacional;Aceleração 0-100 km/h:11,6 s;Velocidade máxima:175 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C510;Quantidade de marchas:5;Tração:Dianteira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1747 cm³;Cilindros:4 em linha;Código do motor:E.torQ;Comando de válvulas:Único no cabeçote, corrente;Curso do pistão:85,8 mm;Diâmetro do cilindro:80,5 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,1 kg/cv;Peso/torque:70,8 kg/kgfm;Potência específica:75,6 cv/litro;Potência máxima:132 cv (A) 130 cv (G) a 5250 rpm;Razão de compressão:11,2:1;Torque específico:10,8 kgfm/litro;Torque máximo:18,9 kgfm (A) 18,4 kgfm (G) a 4500 rpm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Altura:1897 mm;Bitola dianteira:1495 mm;Bitola traseira:1496 mm;Carga útil:545 kg;Comprimento:4252 mm;Distância entre-eixos:2566 mm;Largura:1722 mm;Peso:1338 kg;Porta-malas com 5 lugares:665 litros;Porta-malas com 7 lugares:200 litros;Tanque de combustível:60 litros;Vão livre do solo:161 mm;Altura do flanco:123 mm;Dianteiros:175/70 R14;Traseiros:175/70 R14;Assistência:Hidráulica;Diâmetro mínimo de giro:10,5 m;Dianteira:Independente, McPherson;Elemento elástico:Mola parabólica de lâmina única;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):402 km;Rodoviária (G):582 km;Urbana (A):372 km;Urbana (G):546 km;Rodoviário (A):6,7 km/l;Rodoviário (G):9,7 km/l;Urbano (A):6,2 km/l;Urbano (G):9,1 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Banco traseiro bipartido;Controle elétrico dos vidros dianteiros;Direção assistida;Rodas de liga leve;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags frontais;Cintos de três pontos para todos os ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis de neblina;Freios ABS;Limpador e lavador do vidro traseiro;Travamento central das portas
Honda,Prelude,1992,Prelude Si,"FIPE 06/23:R$ 19.574,00;Ano:1992;Combustível:Gasolina;Configuração:Cupê;Garantia:1 ano;Lugares:4;Portas:2;Porte:Médio;Procedência:Importado;Aceleração 0-100 km/h:7,7 s;Velocidade máxima:215 km/h;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:2259 cm³;Cilindros:4 em linha;Código do motor:H23A1;Comando de válvulas:Duplo no cabeçote, correia dentada;Curso dos pistões:95 mm;Diâmetro dos cilindros:87 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:7,8 kg/cv;Peso/torque:57,9 kg/kgfm;Potência específica:70,8 cv/litro;Potência máxima:160 cv a 5800 rpm;Razão de compressão:9,8:1;Torque específico:9,6 kgfm/litro;Torque máximo:21,6 kgfm a 5300 rpm;Válvulas por cilindro:4;Altura:1290 mm;Bitola dianteira:1525 mm;Bitola traseira:1515 mm;Carga útil:415 kg;Comprimento:4440 mm;Distância entre-eixos:2550 mm;Largura:1765 mm;Peso:1250 kg;Porta-malas:278 litros;Reboque com freio:1200 kg;Reboque sem freio:500 kg;Tanque de combustível:60 litros;Altura do flanco:113 mm;Dianteiros:Disco ventilado;Dianteiros:205/55 R15;Área frontal (A):1,94 m²;Coeficiente de arrasto (Cx):0,32;Assistência:Hidráulica;Diâmetro mínimo de giro:9,7 m;Câmbio:Manual;Quantidade de marchas:5;Tração:Dianteira;Dianteira:Independente, braços sobrepostos;Elemento elástico:Mola helicoidal;Traseira:Independente, braços sobrepostos;Rodoviária (G):720 km;Urbana (G):540 km;Rodoviário (G):12 km/l;Urbano (G):9 km/l;Traseiros:205/55 R15;Traseiros:Disco sólido",
Ford,Mustang,2014,Mustang GT V8,"FIPE 06/23:R$ 307.352,00;Ano:2014;Combustível:Gasolina;Configuração:Cupê;Garantia:1 ano;Geração:5;Lugares:4;Plataforma:D2C;Portas:2;Porte:Grande;Procedência:Importado;Aceleração 0-100 km/h:4,3 s;Velocidade máxima:279 km/h;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Marchas:6;Quantidade de marchas:6;Tração:Traseira;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:4951 cm³;Cilindros:8 em V;Comando de válvulas:Duplo no cabeçote;Curso do pistão:92,7 mm;Diâmetro do cilindro:92,2 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:3,9 kg/cv;Peso/torque:30,4 kg/kgfm;Potência específica:86,0 cv/litro;Potência máxima:426 cv;Razão de compressão:11:1;Rotação potência máx.:6500 rpm;Rotação torque máx.:4250 rpm;Torque específico:10,9 kgfm/litro;Torque máximo:53,9 kgfm;Válvulas por cilindro:4;Altura:1417 mm;Bitola dianteira:1562 mm;Bitola traseira:1577 mm;Comprimento:4788 mm;Distância entre-eixos:2720 mm;Largura:1877 mm;Peso:1641 kg;Porta-malas:379 litros;Tanque de combustível:60 litros;Altura do flanco:118 mm;Dianteiros:235/50 R18;Traseiros:235/50 R18;Área frontal (A):2,26 m²;Área frontal corrigida:0,791 m²;Coef. de arrasto (Cx):0,35;Coeficiente de arrasto (Cx):0,35;Assistência:Hidráulica;Diâmetro de giro:10,18 m;Diâmetro mínimo de giro:10,18 m;Dianteira:Indep., braços sobrepostos;Elemento elástico:Mola helicoidal;Traseira:Eixo rígido;Dianteiros:Disco ventilado;Traseiros:Disco ventilado;Rodoviária (G):414 km;Urbana (G):192 km;Rodoviário (G):6,9 km/l;Urbano (G):3,2 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Ar-condicionado automático;Banco do motorista com ajuste de altura;Banco do motorista com ajuste elétrico;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Direção assistida;Faróis com acendimento automático;Retrovisor interno fotocrômico;Rodas de liga leve;Teto solar elétrico;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Indicador de temperatura externa;Navegador GPS;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Câmera traseira para manobras;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Monitoramento de pressão dos pneus;Sensores de estacionamento traseiro;Travamento central das portas
Honda,Cr-v,2007,CR-V 2.0 16V Aut.,"Ano:2007;Combustível:Gasolina;Configuração:SUV;Garantia:3 anos;Geração:3;Lugares:5;Portas:4;Porte:Médio;Procedência:Importado;Aceleração 0-100 km/h:13,9 s;Velocidade máxima:167 km/h;Acionam. do comando:Corrente;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1997 cm³;Cilindros:4 em linha;Comando de válvulas:Único no cabeçote;Curso do pistão:96,6 mm;Diâmetro do cilindro:81 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:10,6 kg/cv;Peso/torque:82,2 kg/kgfm;Potência específica:75,1 cv/litro;Potência máxima:150 cv;Razão de compressão:10,5:1;Rotação potência máx.:6200 rpm;Rotação torque máx.:4200 rpm;Torque específico:9,7 kgfm/litro;Torque máximo:19,4 kgfm;Tuchos:Mecânicos;Válvulas por cilindro:4;Variação do comando:Admissão;Acoplamento:Conversor de torque;Câmbio:Automático;Marchas:5;Quantidade de marchas:5;Tração:Integral sob demanda;Altura:1680 mm;Ângulo de entrada:28 graus;Ângulo de saída:22 graus;Bitola dianteira:1565 mm;Bitola traseira:1565 mm;Comprimento:4520 mm;Distância entre-eixos:2620 mm;Largura:1820 mm;Peso:1595 kg;Porta-malas:559 litros;Tanque de combustível:58 litros;Vão livre do solo:190 mm;Altura do flanco:135 mm;Dianteiros:225/60 R18;Traseiros:225/60 R18;Assistência:Elétrica;Diâmetro de giro:11,3 m;Diâmetro mínimo de giro:11,3 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., braços sobrepostos;Dianteiros:Disco ventilado;Traseiros:Disco sólido;Rodoviária (G):632 km;Urbana (G):499 km;Rodoviário (G):10,9 km/l;Urbano (G):8,6 km/l",
Fiat,Siena,2015,Grand Siena ESSENCE ITALIA 1.6 Flex 16V,"Ano:2015;Combustível:Flex;Configuração:Sedã;Garantia:2 anos;Geração:2;Lugares:5;Plataforma:326;Portas:4;Porte:Compacto;Procedência:Nacional;Propulsão:Combustão;Aceleração 0-100 km/h:9,9 s;Velocidade máxima:194 km/h;Acionam. do comando:Corrente;Alimentação:Injeção multiponto;Aspiração:Natural;Cilindrada:1598 cm³;Cilindros:4 em linha;Código do motor:E.torQ;Comando de válvulas:Único no cabeçote;Curso do pistão:85,8 mm;Diâmetro do cilindro:77 mm;Disposição:Transversal;Instalação:Dianteiro;Peso/potência:9,8 kg/cv;Peso/torque:67,9 kg/kgfm;Potência específica:73,2 cv/litro;Potência máxima:117 cv (A) 115 cv (G) a 5500 rpm;Potência máxima (A):117 cv;Potência máxima (G):115 cv;Razão de compressão:10,5:1;Rotação potência máx.:5500 rpm;Rotação torque máx.:4500 rpm;Torque específico:10,5 kgfm/litro;Torque máximo:16,8 kgfm (A) 16,2 kgfm (G) a 4500 rpm;Torque máximo (A):16,8 kgfm;Torque máximo (G):16,2 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Acoplamento:Embreagem monodisco a seco;Câmbio:Manual;Código do câmbio:C510;Marchas:5;Quantidade de marchas:5;Tração:Dianteira;Altura:1506 mm;Bitola dianteira:1450 mm;Bitola traseira:1475 mm;Carga útil:400 kg;Comprimento:4290 mm;Distância entre-eixos:2511 mm;Largura:1700 mm;Peso:1141 kg;Porta-malas:520 litros;Tanque de combustível:48 litros;Vão livre do solo:159 mm;Altura do flanco:107 mm;Dianteiros:195/55 R16;Traseiros:195/55 R16;Área frontal (A):2,18 m²;Área frontal corrigida:0,698 m²;Coef. de arrasto (Cx):0,32;Coeficiente de arrasto (Cx):0,32;Assistência:Hidráulica;Diâmetro de giro:10,2 m;Diâmetro mínimo de giro:10,2 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Eixo de torção;Dianteiros:Disco ventilado;Traseiros:Tambor;Rodoviária (A):408 km;Rodoviária (G):605 km;Urbana (A):331 km;Urbana (G):480 km;Rodoviário (A):8,5 km/l;Rodoviário (G):12,6 km/l;Urbano (A):6,9 km/l;Urbano (G):10 km/l",Ajuste do volante em altura;Ajuste elétrico dos retrovisores;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Banco do motorista com ajuste de altura;Banco traseiro rebatível;Comando interno da tampa do tanque;Comando interno do porta-malas;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Direção assistida;Faróis com acendimento automático;Limpador de para-brisa automático;Luz no porta-luvas;Luz no porta-malas;Retrovisor interno fotocrômico;Rodas de liga leve;Teto solar elétrico;Zonas de ar-condicionado: 1;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Indicador de temperatura externa;Rádio;Termômetro da água do motor;Volante multifuncional;Airbags frontais;Airbags laterais;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis de neblina;Freios ABS;Sensores de estacionamento traseiro;Travamento central das portas
BMW,330i,2020,330i Sport 2.0 TB 16V 4p,"FIPE 06/23:R$ 382.116,00;Ano:2020;Combustível:Gasolina;Configuração:Sedã;Garantia:2 anos;Geração:7;Lugares:5;Plataforma:CLAR;Portas:4;Porte:Médio;Procedência:Nacional;Propulsão:Combustão;Série:G20;Aceleração 0-100 km/h:5,8 s;Velocidade máxima:250 km/h;Acionam. do comando:Corrente;Alimentação:Injeção direta;Aspiração:Turbocompressor;Cilindrada:1998 cm³;Cilindros:4 em linha;Código do motor:B48B20;Comando de válvulas:Duplo no cabeçote;Curso do pistão:94,6 mm;Diâmetro do cilindro:82 mm;Disposição:Longitudinal;Instalação:Dianteiro;Peso/potência:5,7 kg/cv;Peso/torque:36,0 kg/kgfm;Potência específica:129,1 cv/litro;Potência máxima:258 cv;Razão de compressão:10,2:1;Regime potência máx.:5000 rpm;Regime torque máx.:1550 rpm;Rotação máxima:6500 rpm;Torque específico:20,4 kgfm/litro;Torque máximo:40,8 kgfm;Tuchos:Hidráulicos;Válvulas por cilindro:4;Variação do comando:Admissão e escape;Acoplamento:Conversor de torque;Câmbio:Automático;Código do câmbio:ZF 8HP;Marchas:8;Tração:Traseira;Altura:1435 mm;Altura mínima do solo:136 mm;Bitola dianteira:1589 mm;Bitola traseira:1604 mm;Carga útil:590 kg;Comprimento:4709 mm;Distância entre-eixos:2851 mm;Largura:1827 mm;Peso:1470 kg;Porta-malas:365 litros;Reboque com freio:1600 kg;Reboque sem freio:750 kg;Tanque de combustível:59 litros;Altura do flanco:101 mm;Dianteiros:225/45 R18;Estepe:135/80 R17;Traseiros:225/45 R18;Área frontal (A):2,22 m²;Área frontal corrigida:0,533 m²;Coef. de arrasto (Cx):0,24;Assistência:Eletro-hidráulica;Diâmetro de giro:11,5 m;Dianteira:Indep., McPherson;Elemento elástico:Mola helicoidal;Traseira:Indep., multibraço;Dianteiros:Disco ventilado;Traseiros:Disco ventilado;Rodoviária (G):761 km;Urbana (G):643 km;Rodoviário (G):12,9 km/l;Urbano (G):10,9 km/l",Ajuste do volante em altura;Ajuste do volante em profundidade;Ajuste elétrico dos retrovisores;Apoio de braço central no banco traseiro;Apoio de braço para o motorista;Ar quente;Ar-condicionado;Ar-condicionado automático;Auto Hold;Banco do motorista com ajuste de altura;Banco do motorista com ajuste elétrico;Banco do motorista com memórias;Banco do motorista com memórias de ajuste;Banco do passageiro com ajuste elétrico;Banco traseiro bipartido;Banco traseiro rebatível;Bancos revestidos em couro;Câmbio automático;Capô sustentado por mola a gás;Chave presencial;Comando interno da tampa do tanque;Comando interno do bocal de abastec.;Comando interno do porta-malas;Controle automático de velocidade;Controle elétrico dos vidros dianteiros;Controle elétrico dos vidros traseiros;Destravamento remoto do porta-malas;Direção assistida;Faróis com acendimento automático;Freio de estacionamento elétrico;Limitador de velocidade;Limpador de para-brisa automático;Luz de teto traseira;Luz no porta-luvas;Luz no porta-malas;Recuperação de energia cinética;Retrovisor interno fotocrômico;Retrovisores rebativeis eletricamente;Roda-livre;Rodas de liga leve;Saída de ar para o banco traseiro;Sistema start-stop;Teto solar elétrico;Troca de marchas no volante;Zonas de ar-condicionado: 3;Carregador de celular por indução;CD player;Computador de bordo;Conexão Bluetooth;Conexão USB;Conta-giros;Espelhamento da tela do celular;Filmagem do percurso;HD interno;Indicador de temperatura externa;Informação de trânsito em tempo real;Navegador GPS;Rádio;Serviço de concierge;Termômetro da água do motor;Termômetro do líquido de arrefecimento;Volante multifuncional;Airbags de cortina;Airbags frontais;Airbags laterais;Alarme antifurto perimétrico;Alarme antifurto volumétrico;Assistência na recuperação veicular;Assistente de partida em rampa;Câmera traseira para manobras;Chamada de assistência de emergência;Cintos de 3 pontos para todos ocupantes;Cintos de três pontos para todos os ocupantes;Controle de estabilidade;Controle de tração;Desembaçador do vidro traseiro;Encosto de cabeça para todos ocupantes;Encosto de cabeça para todos os ocupantes;Faróis com refletores duplos;Faróis com regulagem de altura;Faróis de LED;Faróis de neblina;Freios ABS;ISOFIX para fixação de cadeira infantil;Luz traseira de neblina;Luzes de condução diurna;Monitoramento de pressão dos pneus;Repetidores laterais das luzes de direção;Sensores de estacionamento dianteiro;Sensores de estacionamento traseiro;Sistema antifurto de rodas;Travamento central das portas
